# File: ModelUsed.dat
# Creation time: 2026-03-02T14:12:06.062  +0100
#
# Classical population model.
# Version OSSOS 1.0, 2026-02-24
#
# Seed:  123476790
#
# Epoch: 2453157.50000
#
# Debiased main belt model files:
#     Hot_aq_density_Bias-aq-i-H-v6.3-All_Surveys_0.20_cut.dat
#     Cold_aq_density_Bias-aq-i-H-v6.3-All_Surveys_0.20_cut.dat
#
# a_step:  0.10
# q_step:  0.10
#
# Hcut:   8.70
#
# Colors for cold:  0.90  0.00 -0.50 -1.00  1.50  1.20  0.80 -0.10 -0.50  0.00
# Colors for hot:   0.60  0.00 -0.50 -1.00  1.50  1.20  0.80 -0.10 -0.50  0.00
#
# Fractions of (cold, low-a): 0.169; (cold, high-a): 0.175; hot: 0.602; kernel: 0.054
#
# Parameters for hot inclination distribution:   0.00 16.50
# Parameters for cold inclination distribution:   4.90  0.70
# Parameters for warm inclination distribution:  12.00  0.50
#
# Cold, low-a H-dist. parameter:    8.66  1.00  0.40  8.66
# Cold, high-a H-dist. parameter:   8.66  1.00  0.40  8.66
# Hot H-dist. parameter:            8.66  1.00  0.40  8.66
# Kernel H-dist. parameter:         8.66  1.00  0.40  8.66
#
# Phase effect parameter G:  0.15
#
# lightcurve initial phase:  0.000
# lightcurve period [day]:  0.600
# lightcurve amplitude:  0.000
#
#   a        e        i      Omega    omega      M        H       epoch        dist    comment 
  43.5036   0.0330   2.0069 244.0338  96.6008 269.1247   7.56 2453157.50000   43.5728 coldl_   
  43.1984   0.1332   7.5339 282.0146 159.4347 156.3157   6.87 2453157.50000   48.5704   hot_   
  44.1360   0.0428   4.2495  91.8360 288.3744 280.0530   7.70 2453157.50000   43.8856 coldl_   
  44.3095   0.0290   2.2545  85.6816 288.1917 129.5428   8.20 2453157.50000   45.1485 coldl_   
  42.8016   0.0475  28.9612 320.2004   8.1846 185.8680   8.60 2453157.50000   44.8258   hot_   
  43.8006   0.1328  14.5874 340.9101 242.9866  30.0589   8.29 2453157.50000   39.0001   hot_   
  47.6993   0.1403  30.8521 344.9034  69.4227  81.3624   8.24 2453157.50000   47.6294   hot_   
  44.0400   0.0227   1.2475  11.8620 329.2033 160.9649   8.33 2453157.50000   44.9878 coldl_   
  46.2251   0.1678  27.3261 329.9221   8.8958 287.6070   8.22 2453157.50000   45.1337   hot_   
  42.8383   0.0536   3.5455 232.6102  68.6876 152.8507   8.53 2453157.50000   44.9035   hot_   
  43.8635   0.0621   2.0832 161.8086 335.2048 279.4406   7.99 2453157.50000   43.5835 kernel_  
  45.5922   0.1700  31.3353  62.7219 140.0375 110.9841   8.27 2453157.50000   49.4060   hot_   
  44.8154   0.0549  33.0180 318.8426 195.3149 203.4175   8.09 2453157.50000   47.0939   hot_   
