# File: ModelUsed.dat
# Creation time: 2026-03-02T14:45:58.052  +0100
#
# Detached population model.
# Version OSSOS 1.0, 2026-02-27
#
# Seed:  123476790
#
# Epoch: 2453157.50000
#
# Colors for hot:   0.60  0.00 -0.50 -1.00  1.50  1.20  0.80 -0.10 -0.50  0.00
#
# Parameters for inclination distribution:   0.00 18.00
# Parameters for q distribution:    7 34.000
#                                  0.080 35.500
#                                  0.580 39.000
#                                  0.340 49.000
# Parameters for a distribution:   -3.00  48.00 250.00
#
# Hot H-dist. parameter:            8.30  0.32  0.40  8.66
#
# lightcurve initial phase:  0.000
# lightcurve period [day]:  0.600
# lightcurve amplitude:  0.000
#
#   a        e        i      Omega    omega      M        H       epoch        dist    comment 
  49.2675   0.2257   6.1765  81.9902  60.8638 169.7408   8.25 2453157.50000   60.2676 detached_
  54.8140   0.2415  26.7014 102.2511 165.0906  55.0993   7.75 2453157.50000   49.8382 detached_
  49.2383   0.2225  20.4255 157.7811 303.5726 129.5976   7.95 2453157.50000   57.3925 detached_
  65.6377   0.4108  13.6056  39.1793 273.5293  46.6795   6.30 2453157.50000   55.7959 detached_
 148.1234   0.7597  11.9884 298.0016 347.8249 296.6821   6.86 2453157.50000  177.8252 detached_
  59.3805   0.3555  13.4599 357.1700 293.0263 329.2262   6.16 2453157.50000   44.5140 detached_
  72.8180   0.5260  19.8440 266.4264   3.7343 309.6830   7.96 2453157.50000   66.1646 detached_
  59.5254   0.3527  27.6107 136.1378 227.4948 356.4423   8.25 2453157.50000   38.6246 detached_
 230.8279   0.8473  34.0922 344.6889  69.6390  81.3624   8.10 2453157.50000  335.5305 detached_
  49.7267   0.1306  16.4445 260.9353 231.5527 219.6110   7.90 2453157.50000   55.0280 detached_
  50.3901   0.2515  23.1592 194.3488 253.7016 285.0153   8.37 2453157.50000   50.2564 detached_
  68.1337   0.4318   4.3390  24.4931  76.8568 137.8899   8.39 2453157.50000   93.6606 detached_
  63.3165   0.4470  34.5039 165.2519 155.2689 346.5804   7.98 2453157.50000   37.4072 detached_
  50.6728   0.2334  16.9161 242.3183 126.2326 288.4805   8.14 2453157.50000   49.6084 detached_
  95.5442   0.5417  24.4120 247.0907 300.9234 203.1240   8.57 2453157.50000  145.5230 detached_
 119.3586   0.6866  13.7912 316.7377  52.3141 193.9218   8.21 2453157.50000  200.4640 detached_
 131.9037   0.7147  21.9763 312.5813 293.4968 176.5072   8.10 2453157.50000  226.1131 detached_
  62.2051   0.4356  24.4831  43.8530 342.1471  62.5900   8.22 2453157.50000   61.0358 detached_
  49.2910   0.1582  12.1458 207.9627 181.2477 317.1719   7.87 2453157.50000   44.2511 detached_
  48.9414   0.0725  14.6341  54.3302 282.4698 322.1905   8.41 2453157.50000   46.2453 detached_
