# File: ModelUsed.dat
# Creation time: 2026-03-02T14:35:42.613  +0100
#
# Inner population model.
# Version OSSOS 1.0, 2026-02-25
#
# Seed:  123476790
#
# Epoch: 2453157.50000
#
# Colors for hot:   0.60  0.00 -0.50 -1.00  1.50  1.20  0.80 -0.10 -0.50  0.00
#
# Parameters for inclination distribution:   0.00 14.00
# Parameters for q distribution:  40.00  1.00 35.00  1.00
# Parameters for a distribution:   -2.50  37.70  39.00
#
# Hot H-dist. parameter:            8.66  1.00  0.40  8.66
#
# Phase effect parameter G:  0.15
#
# lightcurve initial phase:  0.000
# lightcurve period [day]:  0.600
# lightcurve amplitude:  0.000
#
#   a        e        i      Omega    omega      M        H       epoch        dist    comment 
  38.8731   0.0934  21.1441 198.8689 273.8676 228.5464   8.15 2453157.50000   41.4506    inner_
  38.2838   0.0865  38.3965 303.0454 162.4649 156.3157   6.87 2453157.50000   41.3559    inner_
  38.1554   0.0374  26.3736 192.0752  11.1831 285.2230   8.31 2453157.50000   37.8311    inner_
  37.8186   0.0582  22.4573 300.0013 348.3736 296.6821   6.97 2453157.50000   36.9358    inner_
  38.5676   0.0091   1.2985  67.6399 309.5915 185.8680   8.60 2453157.50000   38.9176    inner_
  38.5869   0.1092  22.2308 113.1900 357.3381  23.9276   8.34 2453157.50000   34.8247    inner_
  38.3964   0.0245  27.6824 186.9724  28.9100 289.4006   7.62 2453157.50000   38.1051    inner_
  38.2677   0.0299   6.5362 223.3389 267.7752 285.0153   8.49 2453157.50000   38.0031    inner_
  38.7296   0.0265   2.3510 256.0519 199.0080  19.5050   7.80 2453157.50000   37.7652    inner_
  38.2775   0.0839  27.9411  96.2673  37.5983 228.5460   8.08 2453157.50000   40.5437    inner_
  38.6994   0.0134  26.3578  83.6551 139.9313 298.5398   8.36 2453157.50000   38.4567    inner_
  38.2006   0.0601  26.5937 316.0745  53.6852 193.9218   8.35 2453157.50000   40.4346    inner_
  38.2504   0.0284  28.3381 312.6373 293.8498 176.5072   8.25 2453157.50000   39.3367    inner_
  38.4612   0.0258   6.8962 143.9343  58.2379  19.3227   8.52 2453157.50000   37.5272    inner_
  37.9786   0.0452  21.2913 285.0062 317.6359  14.2411   7.86 2453157.50000   36.3215    inner_
  38.7812   0.0181  26.8035 284.3047   6.2394 347.1870   8.58 2453157.50000   38.0972    inner_
  38.1626   0.0515  23.6762  50.4268 156.8520 146.4100   8.12 2453157.50000   39.8287    inner_
  37.8049   0.0781  23.9191 163.9983  27.8405  77.9592   8.28 2453157.50000   37.4140    inner_
  38.6568   0.0627   8.1608 180.0858 175.0549   5.7630   7.13 2453157.50000   36.2455    inner_
  37.8661   0.0056  26.0347  81.7330 113.8271 266.6682   8.50 2453157.50000   37.8797    inner_
  38.6521   0.0273  37.7958  26.6639 207.3010 287.7034   8.37 2453157.50000   38.3573    inner_
  38.5226   0.0022  24.2687  78.9712 124.0417  68.4992   8.37 2453157.50000   38.4913    inner_
  38.0455   0.0180  19.3164 358.5674  22.3888 282.1322   8.51 2453157.50000   37.9134    inner_
  38.2045   0.0744  28.9211 251.8677 285.6178 333.2789   8.33 2453157.50000   35.7146    inner_
  38.1283   0.0354  32.0881 287.5089  59.6761 311.6237   8.41 2453157.50000   37.2590    inner_
  37.9675   0.0058  28.5695 272.6781 238.5077 127.3669   8.51 2453157.50000   38.1015    inner_
  38.9358   0.1277  29.7603 331.8956  86.5229 357.3055   7.58 2453157.50000   33.9699    inner_
  38.8564   0.0493  23.5554 137.8975  72.4582  87.2044   8.60 2453157.50000   38.8573    inner_
  37.7048   0.1090  48.9331 124.7161 118.9955  79.6754   6.86 2453157.50000   37.4114    inner_
  37.8791   0.0036  27.7031  96.9887 224.4312  89.2989   8.49 2453157.50000   37.8779    inner_
  38.7400   0.0418   4.4276 238.3842   1.2754 312.6551   8.33 2453157.50000   37.6811    inner_
  37.9351   0.0105  30.9530 153.1228 160.2599 356.8052   8.47 2453157.50000   37.5373    inner_
  38.5649   0.0504   1.2658 355.5678 209.5046 242.6515   8.19 2453157.50000   39.5315    inner_
  38.6885   0.0111  21.2942  52.3020 237.7518 133.3290   7.38 2453157.50000   38.9867    inner_
  38.5721   0.0072  26.2670 230.2820  92.4396 111.7764   8.65 2453157.50000   38.6768    inner_
  38.1437   0.0249  38.1365  40.6133 215.2553 247.9102   8.24 2453157.50000   38.5212    inner_
