# File: ModelUsed.dat
# Creation time: 2026-03-06T10:56:42.866  +0100
#
# Plutino population model.
# Version OSSOS 1.0, 2026-03-04
#
# Seed:  123476996
#
# Epoch: 2456505.50000
#
# Colors for hot:   0.60  0.00 -0.50 -1.00  1.50  1.20  0.80 -0.10 -0.50  0.00
#
# p1deg:         2.000
# p2deg:         7.500
# ew:            0.060
# ecent:         0.190
# libampmin:    10.000
# libampc:      50.000
# libampmax:   120.000
# libamptail:  160.000
# libamplow:     0.140
# libampmid:     0.760
# capomfrac:     0.480
#
# Hot H-dist. parameter:           12.00  1.00  0.40  8.66
# hmin:          6.000
#
# lightcurve initial phase:  0.000
# lightcurve period [day]:  0.600
# lightcurve amplitude:  0.000
#
#   a        e        i      Omega    omega      M        H       epoch        dist    comment 
  39.4209   0.2128  14.4040 100.4468 267.9357 151.8973   7.87 2456505.50000   47.1269 03:02_259
  39.4477   0.1094  10.3238   3.6987 211.9218  89.5212   7.91 2456505.50000   39.8809 03:02_127
  39.3541   0.0883  10.3014  24.9343  58.7937  68.6449   7.39 2456505.50000   38.3673 03:02_160
  39.3188   0.2228   8.1431 298.5806 294.1114  72.7353   8.45 2456505.50000   38.6255 03:02_110
  39.4004   0.2454   9.1022  54.7965 219.1329  46.8476   8.31 2456505.50000   34.4045 03:02_115
  39.3341   0.1502   6.8953  41.1175  43.7860 335.9021   8.52 2456505.50000   34.1265 03:02_245
  39.4104   0.1478   4.4498 100.9762 162.3497 295.1234   7.97 2456505.50000   37.7050 03:02_119
  39.4225   0.1561   1.7491  74.1164 150.9291   6.9533   8.61 2456505.50000   33.3326 03:02_258
  39.3731   0.1337   2.8354 189.6241  37.7636 352.7207   7.19 2456505.50000   34.1644 03:02_220
  39.3755   0.2927   8.9139 161.8251  14.7290 129.3556   7.84 2456505.50000   48.2176 03:02_168
  39.3518   0.1813  17.2950 163.7172 224.9823 331.0871   8.31 2456505.50000   33.4972 03:02_117
  39.3658   0.2921   4.4508 157.0729  77.5310  61.3528   6.34 2456505.50000   36.9174 03:02__80
  39.4604   0.1925  14.7570 105.3607 189.0691 202.3886   8.31 2456505.50000   46.6489 03:02_263
  39.4826   0.2287   8.9500 169.3423 236.4833 196.1510   8.10 2456505.50000   48.2732 03:02_107
