# File: ModelUsed.dat
# Creation time: 2026-03-03T17:18:23.530  +0100
#
# Scatering population model.
# Version OSSOS 1.0, 2026-02-02
#
# Seed:  123476990
#
# Epoch: 2453157.50000
#
# Colors for hot:   0.60  0.00 -0.50 -1.00  1.50  1.20  0.80 -0.10 -0.50  0.00
#
# Parameters for inclination distribution:   0.00 19.00
# Parameters for a distribution:   30.00 700.00   0.90
# Parameters for q distribution:    0.04   0.20   2.50
#
# Hot H-dist. parameter:            8.30  0.32  8.66
#
# lightcurve initial phase:  0.000
# lightcurve period [day]:  0.600
# lightcurve amplitude:  0.000
#
#   a        e        i      Omega    omega      M        H       epoch        dist    comment 
 635.8753   0.9237  18.9324   0.6877 248.7256 292.4365   8.27 2453157.50000  887.6498 scatterin
 220.9338   0.8278  16.0264 168.5394 293.3751  48.5569   7.77 2453157.50000  239.2565 scatterin
 355.1510   0.9053  14.6073 130.3472  83.6627 301.9487   8.52 2453157.50000  451.9091 scatterin
 506.8700   0.9086  25.2155 176.3664  62.7962 105.9481   8.26 2453157.50000  857.8784 scatterin
 514.3042   0.9098  17.1644  45.8901  80.1801 226.5944   8.43 2453157.50000  939.1944 scatterin
 636.5755   0.9254  24.6758 312.2811  77.3447 286.5853   7.04 2453157.50000  927.0123 scatterin
 144.2292   0.7499  38.9940 195.9703 299.7472 337.6538   7.93 2453157.50000   88.9843 scatterin
 195.8975   0.8057  20.2288  87.2818  48.7501  33.0103   8.31 2453157.50000  163.6175 scatterin
  96.8121   0.7048   9.1482  94.9236  64.7732  84.5456   8.36 2453157.50000  130.5567 scatterin
 609.8910   0.9337  21.6182 247.0718  91.7490  36.2850   8.64 2453157.50000  607.7479 scatterin
 608.7047   0.9266  45.9812  10.7779 156.9852 356.8348   8.37 2453157.50000  112.9764 scatterin
 643.0697   0.9289  26.9443 101.3317  76.7969 349.2178   6.95 2453157.50000  288.9602 scatterin
 627.0477   0.9326  25.6073 165.6265  39.8222 336.4390   8.58 2453157.50000  477.9769 scatterin
 239.8900   0.8432  55.8960  45.3444 301.6183 150.3909   8.25 2453157.50000  434.1772 scatterin
 465.9721   0.9090  18.6228 242.1179 123.7697  75.7274   7.78 2453157.50000  681.4136 scatterin
 351.5862   0.8968  33.8054 109.1815 181.8114  67.7664   6.60 2453157.50000  482.4293 scatterin
 583.5250   0.9215  34.5836 173.7978  90.0244 246.6532   7.61 2453157.50000 1019.7581 scatterin
 383.2420   0.8867  32.0662 305.9266   3.5083 222.8342   8.23 2453157.50000  696.0557 scatterin
 392.5407   0.9033  15.7015  70.1543 154.0465  35.5027   7.53 2453157.50000  375.1889 scatterin
 615.7685   0.9214  13.3304 207.6441 123.9715 122.2179   7.24 2453157.50000 1103.2723 scatterin
 514.8959   0.9090  18.3641 340.4959 203.3231 113.8850   7.86 2453157.50000  894.9348 scatterin
 105.0919   0.6482  11.7161 274.9684  68.2177  76.8908   8.46 2453157.50000  130.0119 scatterin
 300.5336   0.8555  12.1772 307.3840 338.2398 232.9714   7.77 2453157.50000  525.1501 scatterin
 510.8198   0.9118  12.5924 135.3576 205.9796 169.0604   7.96 2453157.50000  974.2638 scatterin
 676.8408   0.9339  41.6929 261.9339 167.1634 259.0941   6.75 2453157.50000 1140.9096 scatterin
 171.0151   0.7758  22.0805 130.6177 139.6765  90.4074   7.14 2453157.50000  249.4730 scatterin
 453.3140   0.9102  24.3463  24.7394 332.1462 160.3352   7.30 2453157.50000  859.2479 scatterin
 611.5296   0.9236  28.6778 139.0482 148.8430 250.9850   7.78 2453157.50000 1055.1774 scatterin
 337.1638   0.8689  28.6642  93.4151 308.3246  11.8192   7.89 2453157.50000  148.4549 scatterin
 512.1025   0.9097  26.0676  63.5925 229.4507 107.4124   8.41 2453157.50000  871.7781 scatterin
 131.9625   0.7375  38.1358 203.2267 358.5128 149.3793   8.23 2453157.50000  224.6587 scatterin
 400.5564   0.8901  29.5396 327.7128 292.0654 208.0559   8.15 2453157.50000  745.0638 scatterin
 190.1168   0.8773   2.5939 356.1061  21.2935 157.8494   8.25 2453157.50000  353.3595 scatterin
 513.6233   0.9103  35.2942 135.5003 135.3450 357.4976   8.52 2453157.50000   80.9113 scatterin
  50.2823   0.3383  30.8677 168.7410 255.4267 103.8796   7.41 2453157.50000   58.9319 scatterin
  63.8490   0.4568  30.2189 226.3227 247.3886 291.0696   8.42 2453157.50000   66.3924 scatterin
 228.0784   0.8292  47.5450 123.7262  81.4439 309.1932   7.52 2453157.50000  253.9776 scatterin
 523.8922   0.9224  35.6947 129.9359 206.1158   3.7629   8.44 2453157.50000  109.3156 scatterin
  97.1435   0.7095  19.2292 156.9823 243.6003 277.4943   7.50 2453157.50000  129.8155 scatterin
 285.9771   0.9153  32.2278 210.4995 228.0515  22.6876   7.67 2453157.50000  208.4747 scatterin
  41.7547   0.2155  36.3546  76.1081 223.2058 330.3052   8.48 2453157.50000   34.5831 scatterin
 515.5609   0.9210  38.5421 176.0024 223.1335 302.3559   8.61 2453157.50000  661.2766 scatterin
 294.2665   0.9173  17.9395 341.0024 177.9781 286.3622   8.33 2453157.50000  426.8482 scatterin
 374.0967   0.9073  32.4061  68.4716 350.9678 170.2383   7.75 2453157.50000  712.1557 scatterin
 420.2574   0.9040  17.1834 102.9560 353.9631 290.0134   7.72 2453157.50000  589.0966 scatterin
  40.5103   0.2674  54.0493 290.0797 218.8021 133.3210   8.19 2453157.50000   49.1185 scatterin
 367.2251   0.8795  17.5607 304.2230   5.0348  39.8542   8.16 2453157.50000  368.5951 scatterin
 127.9254   0.7037  33.0167 212.2308 279.1950 262.3613   8.24 2453157.50000  184.5519 scatterin
 558.0793   0.9159   4.9515 251.2216 343.1108  42.0675   8.52 2453157.50000  597.2011 scatterin
 503.7306   0.9189  24.6382  16.9432 151.8131 300.4433   8.22 2453157.50000  656.3982 scatterin
 354.2212   0.8874  26.4183   3.4972 355.0379 313.6483   7.99 2453157.50000  391.6237 scatterin
 572.0676   0.9162  25.6706 154.2745 153.0401 262.4782   6.98 2453157.50000  941.2629 scatterin
 630.1572   0.9288  11.5625  13.8081  71.9707 132.3514   7.63 2453157.50000 1160.2382 scatterin
 314.5888   0.8699  33.6027 185.6781 263.9163  28.1811   8.64 2453157.50000  251.5504 scatterin
 124.9271   0.7147  31.6123 118.8375 191.2552  35.1341   8.28 2453157.50000  101.2417 scatterin
 456.7762   0.9090  44.1484 251.2994 198.6463 199.2109   7.89 2453157.50000  865.5553 scatterin
  96.7191   0.6212  21.4562 239.0333 118.2492 268.4200   8.61 2453157.50000  128.4013 scatterin
  50.2467   0.3310  26.0701 114.5103  39.1570 289.5242   8.12 2453157.50000   50.0840 scatterin
 239.9634   0.8891  16.5504 331.8905 328.5045 156.5859   6.58 2453157.50000  448.3075 scatterin
